,Pedestrians_Count,Lockdown_Stage,Vehicle_Count,Covid_Cases
04-05-2018,824721,Stage 0,,0.0
04-05-2019,914141,Stage 0,20152.0,0.0
04-05-2020,78956,Stage 3,12645.0,13.0
04-05-2021,477002,Stage 3,,0.0
04-06-2010,295461,Stage 0,,0.0
04-06-2011,291870,Stage 0,,0.0
04-06-2012,181397,Stage 0,,0.0
04-06-2013,265597,Stage 0,,0.0
04-06-2014,462541,Stage 0,,0.0
04-06-2015,422131,Stage 0,,0.0
04-06-2016,645838,Stage 0,,0.0
04-06-2017,695848,Stage 0,,0.0
04-06-2018,943085,Stage 0,,0.0
04-06-2019,766357,Stage 0,20747.0,0.0
04-06-2020,131227,Stage 3,,2.0
04-06-2021,532185,Stage 3,,5.0
04-07-2010,305173,Stage 0,,0.0
04-07-2011,296641,Stage 0,,0.0
04-07-2012,267858,Stage 0,,0.0
04-07-2013,224795,Stage 0,,0.0
04-07-2014,527415,Stage 0,,0.0
04-07-2015,512383,Stage 0,,0.0
04-07-2016,750392,Stage 0,,0.0
04-07-2017,760918,Stage 0,,0.0
04-07-2018,774723,Stage 0,,0.0
04-07-2019,711798,Stage 0,22157.0,0.0
04-07-2020,131812,Stage 3,,66.0
04-07-2021,561814,Stage 3,,0.0
04-08-2010,322801,Stage 0,,0.0
04-08-2011,349908,Stage 0,,0.0
04-08-2012,222683,Stage 0,,0.0
04-08-2013,295068,Stage 0,,0.0
04-08-2014,485003,Stage 0,,0.0
04-08-2015,621442,Stage 0,,0.0
04-08-2016,808149,Stage 0,,0.0
04-08-2017,505220,Stage 0,,0.0
04-08-2018,636140,Stage 0,,0.0
04-08-2019,800530,Stage 0,15781.0,0.0
04-08-2020,134045,Stage 3,,645.0
04-08-2021,584678,Stage 3,,0.0
04-09-2010,357179,Stage 0,,0.0
04-09-2011,202060,Stage 0,,0.0
04-09-2012,172605,Stage 0,,0.0
04-09-2013,308625,Stage 0,,0.0
04-09-2014,491723,Stage 0,,0.0
04-09-2015,660311,Stage 0,,0.0
04-09-2016,649474,Stage 0,,0.0
04-09-2017,424488,Stage 0,,0.0
04-09-2018,783227,Stage 0,,0.0
04-09-2019,821559,Stage 0,22510.0,0.0
04-09-2020,160315,Stage 3,,65.0
04-09-2021,625753,Stage 3,,0.0
04-10-2010,242136,Stage 0,,0.0
04-10-2011,181411,Stage 0,,0.0
04-10-2012,296173,Stage 0,,0.0
04-10-2013,318128,Stage 0,,0.0
04-10-2014,514495,Stage 0,,0.0
04-10-2015,769697,Stage 0,,0.0
04-10-2016,514709,Stage 0,,0.0
04-10-2017,511858,Stage 0,,0.0
04-10-2018,823252,Stage 0,,0.0
04-10-2019,857620,Stage 0,25194.0,0.0
04-10-2020,95903,Stage 3,,8.0
04-10-2021,596551,Stage 3,,0.0
04-11-2010,166257,Stage 0,,0.0
04-11-2011,279890,Stage 0,,0.0
04-11-2012,327929,Stage 0,,0.0
04-11-2013,304951,Stage 0,,0.0
04-11-2014,609397,Stage 0,,0.0
04-11-2015,583589,Stage 0,,0.0
04-11-2016,634527,Stage 0,,0.0
04-11-2017,623054,Stage 0,,0.0
04-11-2018,843341,Stage 0,,0.0
04-11-2019,875141,Stage 0,22764.0,0.0
04-11-2020,104551,Stage 3,,0.0
04-11-2021,414006,Stage 3,,0.0
04-12-2010,269797,Stage 0,,0.0
04-12-2011,271084,Stage 0,,0.0
04-12-2012,354620,Stage 0,,0.0
04-12-2013,361504,Stage 0,,0.0
04-12-2014,528770,Stage 0,,0.0
04-12-2015,458808,Stage 0,,0.0
04-12-2016,718101,Stage 0,,0.0
04-12-2017,656443,Stage 0,,0.0
04-12-2018,838379,Stage 0,,0.0
04-12-2019,980703,Stage 0,24216.0,0.0
04-12-2020,92175,Stage 3,,0.0
04-12-2021,502228,Stage 3,,0.0
05-01-2009,298471,Stage 0,,0.0
05-01-2010,241259,Stage 0,,0.0
05-01-2011,157690,Stage 0,,0.0
05-01-2012,296836,Stage 0,,0.0
05-01-2013,277689,Stage 0,,0.0
05-01-2014,460179,Stage 0,,0.0
05-01-2015,746219,Stage 0,,0.0
05-01-2016,426266,Stage 0,,0.0
05-01-2017,500172,Stage 0,,0.0
05-01-2018,725455,Stage 0,,0.0
05-01-2019,784033,Stage 0,15816.0,0.0
05-01-2020,141674,Stage 3,16939.0,0.0
05-01-2021,399952,Stage 0,,1.0
05-02-2009,204887,Stage 0,,0.0
05-02-2010,182281,Stage 0,,0.0
05-02-2011,257627,Stage 0,,0.0
05-02-2012,276317,Stage 0,,0.0
05-02-2013,300103,Stage 0,,0.0
05-02-2014,494263,Stage 0,,0.0
05-02-2015,557177,Stage 0,,0.0
05-02-2016,639079,Stage 0,,0.0
05-02-2017,521670,Stage 0,,0.0
05-02-2018,736988,Stage 0,,0.0
05-02-2019,765930,Stage 0,17692.0,0.0
